id,title,source,classification_humaine,notes
"mock-1","Appel d'offres pour fourniture de matériel informatique au profit du Ministère de la Santé","dgcmef.gov.bf","VALID","Marché public standard - à valider"
"mock-2","Demande de cotation pour travaux de construction d'un centre de santé à Koudougou","arcop.bf","VALID","Marché public standard - à valider"
"mock-3","Avis de recrutement - Prestation de gardiennage pour bâtiments administratifs","sante.gov.bf","REVIEW","Classification incertaine - révision recommandée"
"mock-4","Acquisition de véhicules tout-terrain pour la Direction Régionale de l'Agriculture","infrastructures.gov.bf","VALID","Marché public standard - à valider"
"mock-5","Travaux de réfection de la route nationale RN1 - Tronçon Ouagadougou-Kaya","agriculture.gov.bf","VALID","Marché public standard - à valider"
"mock-6","Soutenance de thèse de Master en Informatique - Université Joseph Ki-Zerbo","univ-ouaga.bf","REJECTED","Événement académique - à rejeter"
"mock-7","Communiqué de presse - Nomination du nouveau Directeur Général des Impôts","finances.gov.bf","REJECTED","Communication administrative - à rejeter"
"mock-8","Avis de décès - Rappel à Dieu de l'ancien Ministre de l'Agriculture","info.bf","REJECTED","Événement personnel/officiel - à rejeter"
"mock-9","Cérémonie d'inauguration du nouveau complexe sportif de Bobo-Dioulasso","gouvernement.gov.bf","REJECTED","Événement personnel/officiel - à rejeter"
"mock-10","Décret N°2024-001 portant nomination au sein du Ministère des Finances","equipement.gov.bf","REJECTED","Communication administrative - à rejeter"
"mock-11","Prestation de formation en gestion de projet pour les cadres du Ministère","dgcmef.gov.bf","REVIEW","Cas ambigu - nécessite révision manuelle"
"mock-12","Étude de faisabilité pour la construction du pont de Kongoussi","arcop.bf","REVIEW","Cas ambigu - nécessite révision manuelle"
"mock-13","Session de formation sur les marchés publics pour les agents comptables","sante.gov.bf","REVIEW","Cas ambigu - nécessite révision manuelle"
"mock-14","Évaluation des besoins en infrastructures sanitaires dans la région du Sahel","infrastructures.gov.bf","REVIEW","Cas ambigu - nécessite révision manuelle"
"mock-15","Rapport d'étude sur l'amélioration du système d'approvisionnement en eau","agriculture.gov.bf","REVIEW","Classification incertaine - révision recommandée"
"mock-16","Appel d'offres pour fourniture de matériel informatique au profit du Ministère de la Santé","univ-ouaga.bf","VALID","Marché public standard - à valider"
"mock-17","Demande de cotation pour travaux de construction d'un centre de santé à Koudougou","finances.gov.bf","VALID","Marché public standard - à valider"
"mock-18","Avis de recrutement - Prestation de gardiennage pour bâtiments administratifs","info.bf","REVIEW","Classification incertaine - révision recommandée"
